zip,cityname,lat,lon,weather,temp_f,temp_c,rh,windspeed,visiblity,Observation Time
27098,"Rural Hall, NC",36.24000168,-80.29000092,Overcast,38.9,3.8,64%,7,10,"March 21, 6:54 PM EDT"
27098,"Rural Hall, NC",36.24000168,-80.29000092,Overcast,37.7,3.2,67%,4,10,"March 22, 2:04 AM EDT"
27098,"Rural Hall, NC",36.24000168,-80.29000092,Clear,39.2,4,50%,1,10,"March 23, 12:34 AM EDT"
27098,"Rural Hall, NC",36.24000168,-80.29000092,Rain,37.7,3.2,85%,0,5,"March 24, 1:50 PM EDT"
27099,"Rural Hall, NC",36.24000168,-80.29000092,Overcast,39,3.9,64%,7,10,"March 21, 6:52 PM EDT"
27099,"Rural Hall, NC",36.24000168,-80.29000092,Overcast,37.7,3.2,67%,4,10,"March 22, 2:04 AM EDT"
27099,"Rural Hall, NC",36.24000168,-80.29000092,Clear,39.2,4,50%,1,10,"March 23, 12:34 AM EDT"
27099,"Rural Hall, NC",36.24000168,-80.29000092,Rain,37.7,3.2,85%,0,5,"March 24, 1:50 PM EDT"
28080,"Iron Station, NC",35.43999863,-81.16000366,Mostly Cloudy,46.9,8.3,43%,7,10,"March 21, 2:10 PM EDT"
28080,"Iron Station, NC",35.43999863,-81.16000366,Scattered Clouds,30.9,-0.6,75%,2,10,"March 22, 2:04 AM EDT"
28080,"Iron Station, NC",35.43999863,-81.16000366,Clear,34.5,1.4,63%,0,10,"March 23, 12:35 AM EDT"
28080,"Iron Station, NC",35.43999863,-81.16000366,Overcast,45.7,7.6,63%,0,10,"March 24, 1:51 PM EDT"
28081,"Kannapolis, NC",35.49000168,-80.63999939,Mostly Cloudy,45.5,7.5,61%,5,10,"March 21, 2:10 PM EDT"
28081,"Kannapolis, NC",35.49000168,-80.63999939,Mostly Cloudy,36.5,2.5,63%,0,10,"March 22, 2:05 AM EDT"
28081,"Kannapolis, NC",35.49000168,-80.63999939,Clear,35.9,2.2,55%,0,10,"March 23, 12:35 AM EDT"
28081,"Kannapolis, NC",35.49000168,-80.63999939,Mostly Cloudy,43.4,6.3,60%,2,10,"March 24, 1:52 PM EDT"
28082,"Kannapolis, NC",35.49000168,-80.62000275,Overcast,45.7,7.6,59%,4,10,"March 21, 2:13 PM EDT"
28082,"Kannapolis, NC",35.49000168,-80.62000275,Mostly Cloudy,36.5,2.5,63%,0,10,"March 22, 2:05 AM EDT"
28082,"Kannapolis, NC",35.49000168,-80.62000275,Clear,35.9,2.2,55%,0,10,"March 23, 12:35 AM EDT"
28082,"Kannapolis, NC",35.49000168,-80.62000275,Overcast,43.4,6.3,60%,2,10,"March 24, 1:52 PM EDT"
28097,"Locust, NC",35.25999832,-80.43000031,Overcast,43,6.1,53%,0,10,"March 21, 6:36 PM EDT"
28097,"Locust, NC",35.25999832,-80.43000031,Partly Cloudy,38,3.3,63%,1,10,"March 22, 1:36 AM EDT"
28097,"Locust, NC",35.25999832,-80.43000031,Clear,42,5.6,51%,0,10,"March 23, 12:07 AM EDT"
28097,"Locust, NC",35.25999832,-80.43000031,Overcast,47,8.3,53%,0,10,"March 24, 1:35 PM EDT"
28098,"Lowell, NC",35.27000046,-81.09999847,Overcast,43.2,6.2,58%,0.7,10,"March 21, 6:53 PM EDT"
28098,"Lowell, NC",35.27000046,-81.09999847,Clear,32.4,0.2,77%,0,10,"March 22, 2:05 AM EDT"
28098,"Lowell, NC",35.27000046,-81.09999847,Clear,39.7,4.3,51%,0,10,"March 23, 12:36 AM EDT"
28098,"Lowell, NC",35.27000046,-81.09999847,Overcast,52.5,11.4,44%,0.4,10,"March 24, 1:52 PM EDT"
28102,"McFarlan, NC",34.81000137,-79.98000336,Mostly Cloudy,48,9,43%,14,10,"March 21, 6:55 PM EDT"
28102,"McFarlan, NC",34.81000137,-79.98000336,Mostly Cloudy,41,5,63%,0,10,"March 22, 1:37 AM EDT"
28102,"McFarlan, NC",34.81000137,-79.98000336,Clear,43,6,49%,4,10,"March 23, 12:35 AM EDT"
28102,"McFarlan, NC",34.81000137,-79.98000336,Mostly Cloudy,50,10,37%,8,10,"March 24, 1:55 PM EDT"
29080,"Lynchburg, SC",34.06000137,-80.06999969,Overcast,46.9,8.3,75%,2.7,9,"March 21, 2:10 PM EDT"
29080,"Lynchburg, SC",34.06000137,-80.06999969,Clear,38.7,3.7,76%,0,10,"March 22, 2:06 AM EDT"
29080,"Lynchburg, SC",34.06000137,-80.06999969,Clear,40.1,4.5,75%,0,10,"March 23, 12:36 AM EDT"
29080,"Lynchburg, SC",34.06000137,-80.06999969,Mostly Cloudy,60.1,15.6,43%,0,10,"March 24, 1:53 PM EDT"
29081,"Ehrhardt, SC",33.09999847,-81.01000214,Overcast,50.2,10.1,46%,17,10,"March 21, 2:10 PM EDT"
29081,"Ehrhardt, SC",33.09999847,-81.01000214,Clear,39.6,4.2,58%,0,10,"March 22, 2:05 AM EDT"
29081,"Ehrhardt, SC",33.09999847,-81.01000214,Clear,34.9,1.6,79%,0,10,"March 23, 12:36 AM EDT"
29081,"Ehrhardt, SC",33.09999847,-81.01000214,Partly Cloudy,67.6,19.8,33%,4,10,"March 24, 1:53 PM EDT"
29082,"Lodge, SC",33.06999969,-80.94999695,Overcast,50.2,10.1,46%,17,10,"March 21, 2:10 PM EDT"
29082,"Lodge, SC",33.06999969,-80.94999695,Clear,38.7,3.7,70%,0,10,"March 22, 2:06 AM EDT"
29082,"Lodge, SC",33.06999969,-80.94999695,Clear,34.9,1.6,80%,0,10,"March 23, 12:37 AM EDT"
29082,"Lodge, SC",33.06999969,-80.94999695,Partly Cloudy,67.6,19.8,31%,8.1,10,"March 24, 1:53 PM EDT"
29101,"McBee, SC",34.47000122,-80.26000214,Mostly Cloudy,46,7.8,63%,2.5,10,"March 21, 6:37 PM EDT"
29101,"McBee, SC",34.47000122,-80.26000214,Clear,35.2,1.8,88%,4.5,10,"March 22, 2:06 AM EDT"
29101,"McBee, SC",34.47000122,-80.26000214,Clear,43.7,6.5,65%,0,10,"March 23, 12:37 AM EDT"
29101,"McBee, SC",34.47000122,-80.26000214,Mostly Cloudy,54.3,12.4,48%,3.1,10,"March 24, 1:53 PM EDT"
29102,"Manning, SC",33.70000076,-80.20999908,Overcast,48.9,9.4,53%,3,10,"March 21, 6:27 PM EDT"
29102,"Manning, SC",33.70000076,-80.20999908,Clear,39.3,4.1,65%,1,10,"March 22, 1:58 AM EDT"
29102,"Manning, SC",33.70000076,-80.20999908,Clear,34,1.1,84%,0,10,"March 23, 12:31 AM EDT"
29102,"Manning, SC",33.70000076,-80.20999908,Partly Cloudy,60.4,15.8,34%,5,10,"March 24, 1:50 PM EDT"
29104,"Mayesville, SC",33.99000168,-80.20999908,Overcast,48,9,43%,18,10,"March 21, 6:55 PM EDT"
29104,"Mayesville, SC",33.99000168,-80.20999908,Clear,39,4,61%,6,10,"March 22, 1:55 AM EDT"
29104,"Mayesville, SC",33.99000168,-80.20999908,Clear,39,4,65%,0,10,"March 23, 12:35 AM EDT"
29104,"Mayesville, SC",33.99000168,-80.20999908,Mostly Cloudy,57,14,31%,7,10,"March 24, 1:35 PM EDT"
30081,"Smyrna, GA",33.88000107,-84.51000214,Mostly Cloudy,46.5,8.1,56%,0,10,"March 21, 1:58 PM EDT"
30081,"Smyrna, GA",33.88000107,-84.51000214,Clear,36.4,2.4,72%,0,10,"March 22, 1:59 AM EDT"
30081,"Smyrna, GA",33.88000107,-84.51000214,Clear,44.6,7,52%,0,10,"March 23, 12:32 AM EDT"
30081,"Smyrna, GA",33.88000107,-84.51000214,Overcast,64.9,18.3,67%,0,10,"March 24, 1:51 PM EDT"
30082,"Smyrna, GA",33.86000061,-84.54000092,Overcast,48.8,9.3,45%,3.7,10,"March 21, 2:05 PM EDT"
30082,"Smyrna, GA",33.86000061,-84.54000092,Clear,38.6,3.7,61%,3,10,"March 22, 2:05 AM EDT"
30082,"Smyrna, GA",33.86000061,-84.54000092,Clear,46.9,8.3,41%,0.7,10,"March 23, 12:35 AM EDT"
30082,"Smyrna, GA",33.86000061,-84.54000092,Overcast,67.1,19.5,67%,5.8,10,"March 24, 1:55 PM EDT"
30083,"Stone Mountain, GA",33.79000092,-84.19999695,Overcast,48,8.9,44%,3.1,10,"March 21, 2:08 PM EDT"
30083,"Stone Mountain, GA",33.79000092,-84.19999695,Clear,38.3,3.5,56%,0.7,10,"March 22, 2:07 AM EDT"
30083,"Stone Mountain, GA",33.79000092,-84.19999695,Clear,40.3,4.6,50%,0,10,"March 23, 12:37 AM EDT"
30083,"Stone Mountain, GA",33.79000092,-84.19999695,Overcast,71.1,21.7,45%,1.6,10,"March 24, 1:54 PM EDT"
30084,"Tucker, GA",33.84999847,-84.22000122,Overcast,46.9,8.3,49%,3,10,"March 21, 2:09 PM EDT"
30084,"Tucker, GA",33.84999847,-84.22000122,Clear,36.5,2.5,65%,3,10,"March 22, 2:07 AM EDT"
30084,"Tucker, GA",33.84999847,-84.22000122,Clear,39.9,4.4,58%,0,10,"March 23, 12:38 AM EDT"
30084,"Tucker, GA",33.84999847,-84.22000122,Overcast,67.5,19.7,55%,4,10,"March 24, 1:55 PM EDT"
30085,"Tucker, GA",33.84999847,-84.22000122,Overcast,46.5,8.1,50%,6,10,"March 21, 2:11 PM EDT"
30085,"Tucker, GA",33.84999847,-84.22000122,Clear,36.5,2.5,65%,3,10,"March 22, 2:07 AM EDT"
30085,"Tucker, GA",33.84999847,-84.22000122,Clear,39.9,4.4,58%,0,10,"March 23, 12:38 AM EDT"
30085,"Tucker, GA",33.84999847,-84.22000122,Overcast,67.5,19.7,55%,4,10,"March 24, 1:55 PM EDT"
30086,"Stone Mountain, GA",33.84999847,-84.22000122,Overcast,46.7,8.2,49%,10,10,"March 21, 2:11 PM EDT"
30086,"Stone Mountain, GA",33.84999847,-84.22000122,Clear,36.5,2.5,65%,3,10,"March 22, 2:07 AM EDT"
30086,"Stone Mountain, GA",33.84999847,-84.22000122,Clear,39.9,4.4,58%,0,10,"March 23, 12:38 AM EDT"
30086,"Stone Mountain, GA",33.84999847,-84.22000122,Overcast,68.9,20.5,50%,1,10,"March 24, 9:01 PM EDT"
30087,"Stone Mountain, GA",33.81000137,-84.12999725,Overcast,47.1,8.4,53%,2,10,"March 21, 2:11 PM EDT"
30087,"Stone Mountain, GA",33.81000137,-84.12999725,Clear,37.4,3,70%,0,10,"March 22, 2:07 AM EDT"
30087,"Stone Mountain, GA",33.81000137,-84.12999725,Clear,39.2,4,74%,0,10,"March 23, 12:39 AM EDT"
30087,"Stone Mountain, GA",33.81000137,-84.12999725,Mostly Cloudy,67.6,19.8,58%,5,10,"March 24, 2:02 PM EDT"
30088,"Stone Mountain, GA",33.75999832,-84.18000031,Overcast,48.6,9.2,45%,1.6,10,"March 21, 2:16 PM EDT"
30088,"Stone Mountain, GA",33.75999832,-84.18000031,Clear,38.3,3.5,56%,0.4,10,"March 22, 2:08 AM EDT"
30088,"Stone Mountain, GA",33.75999832,-84.18000031,Clear,40.3,4.6,50%,0,10,"March 23, 12:38 AM EDT"
30088,"Stone Mountain, GA",33.75999832,-84.18000031,Overcast,71.2,21.8,44%,0,10,"March 24, 2:02 PM EDT"
30090,"Marietta, GA",33.95000076,-84.55000305,Mostly Cloudy,49,9.4,36%,13,10,"March 21, 6:37 PM EDT"
30090,"Marietta, GA",33.95000076,-84.55000305,Clear,37,2.8,64%,12,10,"March 22, 2:06 AM EDT"
30090,"Marietta, GA",33.95000076,-84.55000305,Clear,46,7.8,42%,5,10,"March 23, 12:37 AM EDT"
30090,"Marietta, GA",33.95000076,-84.55000305,Overcast,63,17.2,61%,5,10,"March 24, 1:35 PM EDT"
30091,"Norcross, GA",33.93999863,-84.20999908,Mostly Cloudy,49,9.4,35%,6,10,"March 21, 10:37 PM GMT"
30091,"Norcross, GA",33.93999863,-84.20999908,Clear,38,3.3,58%,5,10,"March 22, 6:06 AM GMT"
30091,"Norcross, GA",33.93999863,-84.20999908,Clear,45,7.2,47%,1,10,"March 23, 4:37 AM GMT"
30091,"Norcross, GA",33.93999863,-84.20999908,Overcast,63,17.2,56%,4,10,"March 24, 5:35 PM GMT"
30092,"Norcross, GA",33.97999954,-84.23999786,Mostly Cloudy,48.2,9,39%,3.6,10,"March 21, 6:38 PM EDT"
30092,"Norcross, GA",33.97999954,-84.23999786,Clear,37.8,3.2,62%,0.7,10,"March 22, 2:08 AM EDT"
30092,"Norcross, GA",33.97999954,-84.23999786,Clear,39,3.9,69%,0,10,"March 23, 12:39 AM EDT"
30092,"Norcross, GA",33.97999954,-84.23999786,Overcast,67.3,19.6,55%,0.9,10,"March 24, 2:02 PM EDT"
30093,"Norcross, GA",33.90999985,-84.18000031,Mostly Cloudy,49,9.4,35%,6,10,"March 21, 10:37 PM GMT"
30093,"Norcross, GA",33.90999985,-84.18000031,Clear,38,3.3,58%,5,10,"March 22, 6:06 AM GMT"
30093,"Norcross, GA",33.90999985,-84.18000031,Clear,45,7.2,47%,1,10,"March 23, 4:37 AM GMT"
30093,"Norcross, GA",33.90999985,-84.18000031,Overcast,63,17.2,56%,4,10,"March 24, 5:35 PM GMT"
30094,"Conyers, GA",33.65000153,-84.01999664,Mostly Cloudy,49,9.4,37%,12,10,"March 21, 6:37 PM EDT"
30094,"Conyers, GA",33.65000153,-84.01999664,Clear,39,3.9,55%,4,10,"March 22, 2:07 AM EDT"
30094,"Conyers, GA",33.65000153,-84.01999664,Clear,43,6.1,51%,0,10,"March 23, 12:36 AM EDT"
30094,"Conyers, GA",33.65000153,-84.01999664,Mostly Cloudy,63,17.2,43%,5,10,"March 24, 1:35 PM EDT"
30095,"Duluth, GA",34.00999832,-84.12999725,Mostly Cloudy,48.9,9.4,48%,1.9,10,"March 21, 6:44 PM EDT"
30095,"Duluth, GA",34.00999832,-84.12999725,Clear,39.2,4,62%,1.2,10,"March 22, 1:54 AM EDT"
30095,"Duluth, GA",34.00999832,-84.12999725,Clear,46.2,7.9,52%,0.6,10,"March 23, 12:34 AM EDT"
30095,"Duluth, GA",34.00999832,-84.12999725,Overcast,64.4,18,65%,1.9,10,"March 24, 1:45 PM EDT"
30096,"Duluth, GA",33.97999954,-84.15000153,Mostly Cloudy,47.6,8.7,51%,2,10,"March 21, 6:50 PM EDT"
30096,"Duluth, GA",33.97999954,-84.15000153,Clear,37,2.8,73%,0,10,"March 22, 2:09 AM EDT"
30096,"Duluth, GA",33.97999954,-84.15000153,Clear,41.1,5.1,68%,0,10,"March 23, 12:40 AM EDT"
30096,"Duluth, GA",33.97999954,-84.15000153,Overcast,71.4,21.9,63%,0,10,"March 24, 2:03 PM EDT"
30097,"Duluth, GA",34.02000046,-84.13999939,Mostly Cloudy,48.9,9.4,48%,1.9,10,"March 21, 6:36 PM EDT"
30097,"Duluth, GA",34.02000046,-84.13999939,Clear,39.2,4,62%,1.2,10,"March 22, 1:54 AM EDT"
30097,"Duluth, GA",34.02000046,-84.13999939,Clear,46.2,7.9,52%,0.6,10,"March 23, 12:34 AM EDT"
30097,"Duluth, GA",34.02000046,-84.13999939,Overcast,64.4,18,65%,1.9,10,"March 24, 1:45 PM EDT"
30098,"Duluth, GA",34,-84.13999939,Mostly Cloudy,48.9,9.4,48%,1.9,10,"March 21, 6:44 PM EDT"
30098,"Duluth, GA",34,-84.13999939,Clear,39.2,4,62%,1.2,10,"March 22, 1:54 AM EDT"
30098,"Duluth, GA",34,-84.13999939,Clear,46.2,7.9,52%,0.6,10,"March 23, 12:34 AM EDT"
30098,"Duluth, GA",34,-84.13999939,Overcast,64.4,18,65%,1.9,10,"March 24, 1:45 PM EDT"
30099,"Duluth, GA",34,-84.13999939,Mostly Cloudy,48.9,9.4,48%,1.9,10,"March 21, 6:44 PM EDT"
30099,"Duluth, GA",34,-84.13999939,Clear,39.2,4,62%,1.2,10,"March 22, 1:54 AM EDT"
30099,"Duluth, GA",34,-84.13999939,Clear,46.2,7.9,52%,0.6,10,"March 23, 12:34 AM EDT"
30099,"Duluth, GA",34,-84.13999939,Overcast,64.4,18,65%,1.9,10,"March 24, 1:45 PM EDT"
30101,"Acworth, GA",34.02999878,-84.69000244,Partly Cloudy,48.4,9.1,57%,4.2,10,"March 21, 6:37 PM EDT"
30101,"Acworth, GA",34.02999878,-84.69000244,Clear,34.9,1.6,86%,4.7,10,"March 22, 2:10 AM EDT"
30101,"Acworth, GA",34.02999878,-84.69000244,Clear,37.6,3.1,85%,0,10,"March 23, 12:41 AM EDT"
30101,"Acworth, GA",34.02999878,-84.69000244,Overcast,64.9,18.3,80%,5.3,10,"March 24, 2:04 PM EDT"
30102,"Acworth, GA",34.11000061,-84.68000031,Partly Cloudy,48,8.9,47%,2,10,"March 21, 6:33 PM EDT"
30102,"Acworth, GA",34.11000061,-84.68000031,Clear,35.4,1.9,73%,2,10,"March 22, 2:04 AM EDT"
30102,"Acworth, GA",34.11000061,-84.68000031,Clear,42.9,6.1,57%,0,10,"March 23, 12:36 AM EDT"
30102,"Acworth, GA",34.11000061,-84.68000031,Overcast,64.7,18.2,69%,0,10,"March 24, 1:55 PM EDT"
30103,"Adairsville, GA",34.36999893,-84.93000031,Partly Cloudy,50,10,38%,7,10,"March 21, 6:37 PM EDT"
30103,"Adairsville, GA",34.36999893,-84.93000031,Clear,36,2.2,72%,5,10,"March 22, 2:07 AM EDT"
30103,"Adairsville, GA",34.36999893,-84.93000031,Clear,45,7.2,45%,5,10,"March 23, 12:36 AM EDT"
30103,"Adairsville, GA",34.36999893,-84.93000031,Overcast,64,17.8,61%,3,10,"March 24, 1:35 PM EDT"
30104,"Aragon, GA",34.04999924,-85.05999756,Clear,49.2,9.6,40%,4,10,"March 21, 6:59 PM EDT"
30104,"Aragon, GA",34.04999924,-85.05999756,Clear,32.9,0.5,83%,0,10,"March 22, 2:11 AM EDT"
30104,"Aragon, GA",34.04999924,-85.05999756,Clear,34.7,1.5,85%,0,10,"March 23, 12:42 AM EDT"
30104,"Aragon, GA",34.04999924,-85.05999756,Overcast,66.6,19.2,61%,9,10,"March 24, 2:05 PM EDT"
31081,"Rupert, GA",32.40999985,-84.27999878,Mostly Cloudy,53.1,11.7,44%,10,10,"March 21, 1:58 PM EDT"
31081,"Rupert, GA",32.40999985,-84.27999878,Clear,42.1,5.6,62%,0,10,"March 22, 2:00 AM EDT"
31081,"Rupert, GA",32.40999985,-84.27999878,Clear,41.1,5.1,77%,0,10,"March 23, 12:32 AM EDT"
31081,"Rupert, GA",32.40999985,-84.27999878,Partly Cloudy,69.7,20.9,43%,5,10,"March 24, 1:52 PM EDT"
31082,"Sandersville, GA",32.97999954,-82.80999756,Overcast,48,9,52%,13,N/A,"March 21, 1:55 PM EDT"
31082,"Sandersville, GA",32.97999954,-82.80999756,Clear,44,7,51%,9,N/A,"March 22, 1:55 AM EDT"
31082,"Sandersville, GA",32.97999954,-82.80999756,Clear,36.5,2.5,80%,0,10,"March 23, 12:42 AM EDT"
31082,"Sandersville, GA",32.97999954,-82.80999756,Mostly Cloudy,72.8,22.7,35%,8,10,"March 24, 2:05 PM EDT"
31083,"Scotland, GA",32.04999924,-82.81999969,Mostly Cloudy,57.7,14.3,49%,13,10,"March 21, 2:07 PM EDT"
31083,"Scotland, GA",32.04999924,-82.81999969,Clear,44,6.7,68%,4,10,"March 22, 2:11 AM EDT"
31083,"Scotland, GA",32.04999924,-82.81999969,Clear,39,3.9,98%,0,10,"March 23, 12:42 AM EDT"
31083,"Scotland, GA",32.04999924,-82.81999969,Partly Cloudy,78.1,25.6,37%,3,10,"March 24, 2:06 PM EDT"
31084,"Seville, GA",31.95999908,-83.59999847,Mostly Cloudy,59.2,15.1,61%,0.7,10,"March 21, 2:09 PM EDT"
31084,"Seville, GA",31.95999908,-83.59999847,Clear,44.2,6.8,82%,0,10,"March 22, 2:11 AM EDT"
31084,"Seville, GA",31.95999908,-83.59999847,Clear,51,10.6,42%,3,10,"March 23, 12:36 AM EDT"
31084,"Seville, GA",31.95999908,-83.59999847,Partly Cloudy,75,24,30%,10,10,"March 24, 1:55 PM EDT"
31085,"Shady Dale, GA",33.40000153,-83.58999634,Overcast,47,8.3,50%,6.5,10,"March 21, 2:16 PM EDT"
31085,"Shady Dale, GA",33.40000153,-83.58999634,Clear,39.3,4.1,60%,7.9,10,"March 22, 2:12 AM EDT"
31085,"Shady Dale, GA",33.40000153,-83.58999634,Clear,36.4,2.4,80%,0,10,"March 23, 12:43 AM EDT"
31085,"Shady Dale, GA",33.40000153,-83.58999634,Partly Cloudy,68.8,20.4,40%,8.4,10,"March 24, 2:06 PM EDT"
31086,"Smarr, GA",32.99000168,-83.87999725,Mostly Cloudy,51.1,10.6,53%,3.8,N/A,"March 21, 2:05 PM EDT"
31086,"Smarr, GA",32.99000168,-83.87999725,Clear,43.5,6.4,59%,1.8,N/A,"March 22, 2:04 AM EDT"
31086,"Smarr, GA",32.99000168,-83.87999725,Clear,43,6.1,69%,0.7,N/A,"March 23, 12:25 AM EDT"
31086,"Smarr, GA",32.99000168,-83.87999725,Partly Cloudy,67.8,19.9,53%,3.1,N/A,"March 24, 2:06 PM EDT"
31087,"Sparta, GA",33.27999878,-82.98000336,Overcast,49.8,9.9,52%,2,10,"March 21, 2:16 PM EDT"
31087,"Sparta, GA",33.27999878,-82.98000336,Clear,41,5,63%,2,10,"March 22, 2:12 AM EDT"
31087,"Sparta, GA",33.27999878,-82.98000336,Clear,42.1,5.6,63%,0,10,"March 23, 12:43 AM EDT"
31087,"Sparta, GA",33.27999878,-82.98000336,Partly Cloudy,71.8,22.1,35%,6,10,"March 24, 2:06 PM EDT"
31088,"Warner Robins, GA",32.59999847,-83.63999939,Mostly Cloudy,54.1,12.3,40%,26,10,"March 21, 2:16 PM EDT"
31088,"Warner Robins, GA",32.59999847,-83.63999939,Clear,43.2,6.2,54%,7,10,"March 22, 2:12 AM EDT"
31088,"Warner Robins, GA",32.59999847,-83.63999939,Clear,48.9,9.4,44%,6,10,"March 23, 12:43 AM EDT"
31088,"Warner Robins, GA",32.59999847,-83.63999939,Partly Cloudy,77.7,25.4,31%,3,10,"March 24, 2:06 PM EDT"
31089,"Tennille, GA",32.93999863,-82.80999756,Overcast,50,10,49%,13,N/A,"March 21, 2:15 PM EDT"
31089,"Tennille, GA",32.93999863,-82.80999756,Clear,44,7,51%,9,N/A,"March 22, 1:55 AM EDT"
31089,"Tennille, GA",32.93999863,-82.80999756,Clear,36.5,2.5,80%,0,10,"March 23, 12:43 AM EDT"
31089,"Tennille, GA",32.93999863,-82.80999756,Partly Cloudy,72.6,22.6,35%,7,10,"March 24, 2:06 PM EDT"
